time,subject
2009-10-06,other
2009-10-06,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,other
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Economy
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Environment
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Local and regional affairs
2009-10-07,Labour
2009-10-07,Labour
2009-10-07,Labour
2009-10-07,Labour
2009-10-07,Labour
2009-10-07,Labour
2009-10-07,Labour
2009-10-07,Labour
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Immigration
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-07,Infrastructure
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
2009-10-08,other
